"","Centris No.","Address","Price","Asked/Sold Prce","Asking Price sqft","Bathrooms (number)","Bedrooms (number)","Living Area (Imperial)","DOM","Garage (number)","Lot Area (Imperial)","Mun./Bor.","Parking","Price/Sqft","Rms","Sold / Rented Price","ST","Updated Listings Date"
"","11727127","8025 Ch. Avon","$547,000","$510,000","","1","3","1,517.21 sqft","67 Days","1","3,999.87 sqft","Montréal Ouest","Driveway, Garage","$336","7","$510,000","SO","2024-01-09"
"","28162496","8031 Ch. Avon, apt. 10","$1,600/month X 12 month(s)","","","1","2","1,000 sqft","11 Days","1","","Montréal Ouest","Garage","","5","$1,750/m","SO","2023-12-17"
"","28831411","8031 Ch. Avon, apt. 16","$1,500/month X 12 month(s)","","","1","2","1,000 sqft","49 Days","1","","Montréal Ouest","Garage","","5","$1,500/m","SO","2022-12-13"
"","26108379","8032 Ch. Avon","$1,000/month X 12 month(s)","","","1","2","","180 Days","","","Montréal Ouest","","","4","$1,000/m","SO","2022-03-07"
"","11836071","8034 Ch. Avon","$2,200/month X 12 month(s)","","","1","3","","113 Days","1","","Montréal Ouest","Garage","","5","$2,200/m","SO","2023-12-16"
"","27094773","181 Av. Brock S., apt. 205","$529,000","$520,000","","2","2","933.23 sqft","72 Days","1","","Montréal Ouest","Garage","$557","7","$520,000","SO","2023-12-17"
"","27098305","181 Av. Brock S., apt. 301","$499,000","$499,000","","2","2","895.56 sqft","32 Days","1","8,250.53 sqft","Montréal Ouest","Garage","$557","7","$499,000","SO","2023-12-19"
"","13297756","181 Av. Brock S., apt. 105","$440,000","$440,000","","2","2","933.23 sqft","32 Days","1","587.06 sqft","Montréal Ouest","Garage","$471","8","$440,000","SO","2022-04-21"
"","27618070","191 Av. Brock S., apt. 201","$568,000","$568,000","","2","2","891.25 sqft","","1","","Montréal Ouest","Garage","$637","7","","AC","2024-01-25"
"","9465284","191 Av. Brock S., apt. 301","$499,000$1,950/month X 12 month(s)","","","2","2","891 sqft","0 Days","1","","Montréal Ouest","Garage","","7","$1,950/m","SO","2024-01-15"
"","10139349","191 Av. Brock S., apt. 205","$509,000","$509,000","","2","2","961.22 sqft","","1","","Montréal Ouest","Garage","$530","7","","EX","2023-08-01"
"","17628965","191 Av. Brock S., apt. 203","$1,390/month X 12 month(s)","","","1","1","589.86 sqft","27 Days","1","","Montréal Ouest","Garage","","5","$1,390/m","SO","2023-12-16"
"","15031434","191 Av. Brock S., apt. 303","$1,300/month X 12 month(s)","","","1","1","587 sqft","72 Days","1","","Montréal Ouest","Garage","","5","$1,300/m","SO","2023-12-18"
"","24878544","191 Av. Brock S., apt. 101","$349,000","$349,000","","1","1","636.15 sqft","7 Days","1","","Montréal Ouest","Garage","$549","6","$349,000","SO","2023-12-18"
"","12719575","423 Av. Hudson","$2,400/month X 12 month(s)","","","1","3","","132 Days","","","Montréal Ouest","","","3","$2,200/m","SO","2022-07-11"
"","25466735","428 Av. Hudson","$2,000/month X 12 month(s)","","","1","3","","4 Days","","","Montréal Ouest","Driveway","","6","$2,000/m","SO","2024-01-27"
"","20222790","436 Av. Hudson","$2,150/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","Driveway, License tag","","6","","AC","2024-02-07"
"","11034478","436 Av. Hudson","$2,050/month X 1 year(s)","","","1","3","","","","","Montréal Ouest","","","6","","EX","2024-02-10"
"","26320572","447 Av. Hudson","$1,900/month X 12 month(s)","","","1","3","1,300 sqft","7 Days","","","Montréal Ouest","Driveway","","6","$1,900/m","SO","2022-07-13"
"","12902707","461 Av. Hudson","$1,825/month X 12 month(s)","","","1","3","","13 Days","1","","Montréal Ouest","Garage","","6","$1,825/m","SO","2023-12-16"
"","21251650","461 Av. Hudson","$1,650/month X 12 month(s)","","","1","3","","14 Days","1","","Montréal Ouest","Garage","","6","$1,775/m","SO","2023-12-17"
"","18471478","29 Av. Northview, apt. B","$1,000/month X 12 month(s)","","","1","1","","15 Days","","","Montréal Ouest","","","3","$950/m","SO","2023-10-19"
"","26864712","29 Av. Northview, apt. B","$750/month X 12 month(s)","","","1","1","","14 Days","","","Montréal Ouest","","","3","$800/m","SO","2022-05-05"
"","18536433","65 Av. Northview","$1,500/month X 12 month(s)","","","1","2","","25 Days","","","Montréal Ouest","","","4","$1,450/m","SO","2023-07-24"
"","27615489","6 Radcliffe Road","$1,900/month X 12 month(s)","","","1","4","","","","","Montréal Ouest","","","7","","AC","2023-12-14"
"","10601300","8B Radcliffe Road","$850/month X 12 month(s)","","","1","0","","15 Days","","","Montréal Ouest","","","3","$850/m","SO","2023-08-04"
"","26067562","8B Radcliffe Road","$800/month X 12 month(s)","","","1","0","","169 Days","","","Montréal Ouest","","","3","$800/m","SO","2022-03-11"
"","23906203","14 Radcliffe Road","$1,800/month X 15 month(s)","","","1","3","","32 Days","","","Montréal Ouest","Driveway","","7","$1,800/m","SO","2023-12-19"
"","22878040","14 Radcliffe Road","$1,800/month X 9 month(s)","","","1","3","","","","","Montréal Ouest","Driveway","","7","","EX","2023-12-19"
"","12999281","14 Radcliffe Road","$1,800/month X 9 month(s)","","","1","3","","","","","Montréal Ouest","Driveway","","7","","EX","2023-12-19"
"","23839404","46 Radcliffe Road","$1,575/month","","","1","3","1,300 sqft","31 Days","","","Montréal Ouest","License tag","","7","$1,575/m","SO","2023-01-26"
"","13523592","38 Prom. Ronald","$1,250/month X 12 month(s)","","","1","3","1,162 sqft","107 Days","","","Montréal Ouest","","","6","$1,250/m","SO","2023-06-06"
"","13061844","67 Prom. Ronald","$1,000/month X 1 year(s)","","","1","3","","24 Days","","","Montréal Ouest","","","6","$1,000/m","SO","2023-12-16"
"","12271214","71 Prom. Ronald","$1,550/month X 12 month(s)","","","2","3","1,500 sqft","64 Days","","","Montréal Ouest","","","6","$1,550/m","SO","2023-06-06"
"","11943058","83 Prom. Ronald","$1,825/month X 12 month(s)","","","1","2","","21 Days","1","","Montréal Ouest","Garage","","6","$1,750/m","SO","2023-10-13"
"","19097070","133 Av. Westminster N., apt. D","$1,675/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","","","6","","EX","2022-06-28"
"","17588648","248A Av. Westminster N.","$925/month X 12 month(s)","","","1","1","","20 Days","","","Montréal Ouest","Driveway","","3","$960/m","SO","2023-08-22"
"","19731793","250 Av. Westminster N.","$1,425/month X 12 month(s)","","","1","2","","112 Days","","","Montréal Ouest","","","6","$1,500/m","SO","2022-12-07"
"","18087304","436 Av. Westminster N.","$2,100/month X 12 month(s)","","","1","3","","144 Days","","","Montréal Ouest","Driveway","","5","$1,850/m","SO","2023-12-18"
"","23348336","452 Av. Westminster N.","$1,900/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","Driveway","","5","","AC","2024-01-27"
"","12251194","460 Av. Westminster N.","$359,000","$359,000","","1","3","943.99 sqft","","","","Montréal Ouest","Driveway","$380","7","","EX","2022-04-01"
"","12952645","476 Av. Westminster N.","$2,900/month X 12 month(s)","","","1","3","810 sqft","","","","Montréal Ouest","","","5","","AC","2024-02-09"
"","24454072","486 Av. Westminster N.","$1,900/month X 12 month(s)","","","1","3","1,135.59 sqft","","","","Montréal Ouest","","","6","","EX","2023-09-02"
"","22701986","486 Av. Westminster N.","$1,800/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","","","6","","EX","2023-12-14"
"","10094423","45 Av. Westminster S., apt. 205","$950,340 + GST/QST","$1,092,653","","2","2","1,529 sqft","","1","","Montréal Ouest","Garage","$715","6","","AC","2024-01-26"
"","17786243","45 Av. Westminster S., apt. 401","$1,699,967 + GST/QST","$1,954,537","","2","3","2,153 sqft","","2","","Montréal Ouest","Garage","$908","10","","AC","2024-01-01"
"","21349612","45 Av. Westminster S., apt. 308A","$1,305,410 + GST/QST","$1,500,895","","2","3","2,146 sqft","","2","","Montréal Ouest","Garage","$699","8","","EX","2024-01-01"
"","20384507","45 Av. Westminster S., apt. 309","$480,870 + GST/QST","$552,880","","1","1","822 sqft","","","","Montréal Ouest","","$673","4","","EX","2024-01-01"
"","25875119","45 Av. Westminster S., apt. 308","$824,540 + GST/QST","$948,015","","1","2","1,324 sqft","","","","Montréal Ouest","","$716","6","","EX","2024-01-01"
"","27947897","45 Av. Westminster S., apt. 303","$601,380 + GST/QST","$691,437","","1","1","1,028 sqft","","","","Montréal Ouest","","$673","5","","EX","2024-01-01"
"","25842469","45 Av. Westminster S., apt. 205","$927,450 + GST/QST","$1,066,335","","2","2","1,529 sqft","","1","","Montréal Ouest","Garage","$697","6","","EX","2024-01-01"
"","25291596","45 Av. Westminster S., apt. 209","$472,650 + GST/QST","$510,351","","1","1","822 sqft","","1","","Montréal Ouest","Garage","$621","5","","EX","2024-01-01"
"","27864609","45 Av. Westminster S., apt. 208","$811,300 + GST/QST","$879,513","","2","2","1,324 sqft","","1","","Montréal Ouest","Garage","$664","5","","EX","2024-01-01"
"","28533627","45 Av. Westminster S., apt. 206","$408,250 + GST/QST","$440,814","","1","1","710 sqft","","1","","Montréal Ouest","Garage","$621","5","","EX","2024-01-01"
"","17947448","45 Av. Westminster S., apt. 204","$957,925 + GST/QST","$1,037,833","","2","2","1,560 sqft","","1","","Montréal Ouest","Garage","$665","7","","EX","2024-01-01"
"","22672452","45 Av. Westminster S., apt. 203","$591,100 + GST/QST","$638,249","","1","1","1,028 sqft","","","","Montréal Ouest","","$621","5","","EX","2024-01-01"
"","11772344","45 Av. Westminster S., apt. 202","$537,625 + GST/QST","$580,508","","1","1","935 sqft","","","","Montréal Ouest","","$621","5","","EX","2024-01-01"
"","17327412","45 Av. Westminster S., apt. 105","$346,150 + GST/QST","$373,760","","1","0","602 sqft","","","","Montréal Ouest","","$621","2","","EX","2024-01-01"
"","14121508","45 Av. Westminster S., apt. 101","$240,600 + GST/QST","$254,076","","1","0","401 sqft","107 Days","","","Montréal Ouest","","$634","2","$230,600+ GST/QST","SO","2023-01-12"
"","14947386","420 Av. Wolseley N.","$2,000/month X 12 month(s)","","","1","3","1,400 sqft","","","","Montréal Ouest","","","8","","AC","2024-02-08"
"","24810251","427 Av. Wolseley N.","$1,500/month X 1 year(s)","","","1","3","","28 Days","","","Montréal Ouest","","","5","$1,500/m","SO","2023-12-17"
"","17345364","435 Av. Wolseley N.","$1,600/month X 12 month(s)","","","1","2","","","","4,090.28 sqft","Montréal Ouest","","","7","","EX","2023-08-08"
"","24547730","453 Av. Wolseley N.","$2,000/month X 1 year(s)","","","1","3","","46 Days","","","Montréal Ouest","","","6","$2,000/m","SO","2023-11-21"
"","14140447","12 Av. Wolseley S.","$2,200/month X 1 year(s)","","","2","3","","88 Days","2","4,425.04 sqft","Montréal Ouest","Garage","","6","$2,200/m","SO","2023-12-16"